ID: 1106478924157145088, retweet: 0
ID: 1106539397023883264, retweet: 1
ID: 1106650020756049920, retweet: 0
ID: 1106705452606197761, retweet: 0
ID: 1106327211202789376, retweet: 3
ID: 1106661655902072833, retweet: 0
ID: 1106642161590779905, retweet: 0
ID: 1106371584468664320, retweet: 12
ID: 1106251676749430785, retweet: 3
ID: 1106593849298821120, retweet: 0
ID: 1106687200207482881, retweet: 0
ID: 1106457749854912513, retweet: 0
ID: 1106171012402565121, retweet: 0
ID: 1106701563232481281, retweet: 1
ID: 1105961583069614080, retweet: 1
ID: 1106342935824662538, retweet: 0
ID: 1106519000148783106, retweet: 0
ID: 1106377623075196928, retweet: 0
ID: 1106649392210042880, retweet: 1
ID: 1106423210818580480, retweet: 0
ID: 1106453241594691585, retweet: 1
ID: 1106400458107572226, retweet: 0
ID: 1106270881783803904, retweet: 0
ID: 1106298568569163795, retweet: 0
ID: 1106275247471448064, retweet: 0
ID: 1106592021475721216, retweet: 0
ID: 1106483032158920705, retweet: 0
ID: 1106609599904395265, retweet: 3
ID: 1106626624546586625, retweet: 2
ID: 1105965894549811200, retweet: 0
ID: 1106350357473566721, retweet: 0
ID: 1106559416080441344, retweet: 0
ID: 1105998454113947649, retweet: 1
ID: 1106354336961978368, retweet: 0
ID: 1106433661161725952, retweet: 0
ID: 1106332022039937025, retweet: 0
ID: 1106629974059036673, retweet: 0
ID: 1106293064820293632, retweet: 0
ID: 1106693646064074752, retweet: 0
ID: 1106604240464760833, retweet: 0
ID: 1106383757920161792, retweet: 0
ID: 1106690291950481409, retweet: 0
ID: 1106577379491643392, retweet: 0
ID: 1106342563877920768, retweet: 0
ID: 1106580721143971840, retweet: 0
ID: 1106371623085469696, retweet: 0
ID: 1106407218365321217, retweet: 0
ID: 1106607681119367168, retweet: 0
ID: 1106371591431245825, retweet: 0
ID: 1106325285505372161, retweet: 0
ID: 1106278231630639107, retweet: 0
ID: 1106538081581035520, retweet: 0
ID: 1106456584664817666, retweet: 0
ID: 1106487391911641088, retweet: 0
ID: 1106354307421663232, retweet: 0
ID: 1106575999372791808, retweet: 23
ID: 1106051434477293568, retweet: 0
ID: 1106287885504909315, retweet: 0
ID: 1106606288836984834, retweet: 0
ID: 1106527044622524418, retweet: 0
ID: 1106242193654726657, retweet: 0
ID: 1106441211156389889, retweet: 0
ID: 1106214274421141504, retweet: 6
ID: 1106278251117318145, retweet: 0
ID: 1106030457534050304, retweet: 1
ID: 1106065809418448897, retweet: 1
ID: 1106035749365792768, retweet: 1
ID: 1106691065929760771, retweet: 0
ID: 1106378429052665858, retweet: 2
ID: 1105957393890840576, retweet: 0
